job_title,salary_usd,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,benefits_score,job_title_grouped,location_grouped,residence_grouped,skills_grouped,industry_grouped
Data Scientist,219728,1,3,Sweden,1,Sweden,0,"Python, Computer Vision, R, Docker",-1,13,Transportation,6.6,-1,-1,16,-1,-1
Head of AI,230237,1,3,Japan,0,Japan,50,"Kubernetes, MLOps, Tableau, Python",-1,10,Transportation,8.5,-1,-1,11,-1,-1
Data Engineer,128890,1,0,Germany,2,Germany,100,"Spark, Scala, Hadoop, PyTorch, GCP",-1,12,Automotive,5.5,-1,-1,7,-1,-1
Computer Vision Engineer,96349,2,1,Finland,0,Finland,50,"MLOps, Linux, Tableau, Python",-1,2,Automotive,6.8,-1,-1,5,-1,-1
Robotics Engineer,63065,0,2,France,2,France,100,"R, Scala, SQL, GCP, Python",-1,0,Finance,9.3,-1,-1,6,-1,-1
Data Scientist,111794,3,0,Singapore,2,Norway,50,"NLP, MLOps, TensorFlow",-1,7,Technology,5.1,-1,-1,13,-1,-1
AI Consultant,113897,3,3,Canada,0,Poland,50,"PyTorch, Linux, NLP",-1,9,Gaming,7.4,-1,-1,-1,-1,-1
Head of AI,168639,3,2,Australia,0,Vietnam,100,"Spark, SQL, Tableau, Computer Vision, Linux",-1,9,Consulting,5.5,-1,-1,-1,-1,-1
Data Scientist,92624,2,2,Japan,0,Japan,50,"Kubernetes, SQL, Docker, Deep Learning",-1,4,Government,9.5,-1,-1,11,-1,-1
Machine Learning Engineer,215627,1,2,United Kingdom,1,United Kingdom,50,"Git, Scala, GCP",-1,10,Government,7.8,-1,-1,18,-1,-1
Data Engineer,129706,2,0,Denmark,0,Denmark,0,"SQL, PyTorch, Statistics, TensorFlow, NLP",-1,3,Consulting,5.2,-1,-1,4,-1,-1
Deep Learning Engineer,76559,0,1,United States,2,United States,100,"Data Visualization, Mathematics, PyTorch, GCP",-1,1,Government,8.3,-1,-1,19,-1,-1
Principal Data Scientist,185834,1,0,United States,0,United States,100,"Linux, Data Visualization, Python, TensorFlow",-1,14,Telecommunications,8.9,-1,-1,19,-1,-1
Principal Data Scientist,89801,2,3,Sweden,1,Belgium,100,"Linux, MLOps, Deep Learning",-1,3,Healthcare,8.7,-1,-1,-1,-1,-1
Principal Data Scientist,252601,1,3,Norway,0,Norway,100,"Kubernetes, SQL, AWS, Git, Computer Vision",-1,19,Gaming,5.1,-1,-1,13,-1,-1
AI Product Manager,20520,0,2,India,2,India,0,"Hadoop, Git, Computer Vision, Kubernetes, Data Visualization",-1,0,Gaming,7.5,-1,-1,8,-1,-1
Robotics Engineer,192789,3,3,Switzerland,2,Switzerland,100,"Tableau, Git, Python, Java",-1,5,Healthcare,5.9,-1,-1,17,-1,-1
Machine Learning Researcher,107184,3,1,Singapore,2,Singapore,50,"Azure, GCP, Computer Vision",-1,7,Automotive,9.2,-1,-1,14,-1,-1
Robotics Engineer,141909,3,2,Netherlands,1,Netherlands,0,"Git, Kubernetes, MLOps, Spark",-1,6,Healthcare,7.8,-1,-1,12,-1,-1
Data Engineer,118238,3,1,Ireland,1,Ireland,100,"AWS, Python, Azure, SQL, Computer Vision",-1,7,Education,8.2,-1,-1,9,-1,-1
Data Scientist,155210,3,3,Australia,0,Argentina,0,"Spark, NLP, AWS",-1,7,Energy,9.7,-1,-1,-1,-1,-1
Data Engineer,96699,3,2,Australia,2,Australia,0,"GCP, Linux, Mathematics",-1,5,Technology,9.7,-1,-1,0,-1,-1
AI Software Engineer,161477,3,2,France,0,France,50,"Mathematics, Spark, Linux",-1,8,Real Estate,9.5,-1,-1,6,-1,-1
AI Software Engineer,316709,1,0,Denmark,0,Denmark,50,"Data Visualization, Azure, Statistics",-1,18,Transportation,7.6,-1,-1,4,-1,-1
ML Ops Engineer,62089,2,0,Canada,2,Singapore,50,"Python, GCP, Linux, SQL, Deep Learning",-1,3,Media,9.7,-1,-1,14,-1,-1
Principal Data Scientist,77985,0,0,Denmark,2,Denmark,0,"SQL, TensorFlow, Computer Vision, Kubernetes",-1,0,Automotive,9.4,-1,-1,4,-1,-1
Robotics Engineer,55315,0,3,Austria,2,Austria,0,"Spark, Deep Learning, SQL, NLP, Python",-1,0,Media,9.5,-1,-1,1,-1,-1
AI Architect,246647,1,3,Singapore,1,Singapore,50,"Scala, Mathematics, SQL",-1,16,Telecommunications,6.6,-1,-1,14,-1,-1
Deep Learning Engineer,29050,0,2,China,2,Germany,0,"PyTorch, Kubernetes, Deep Learning, Hadoop",-1,1,Consulting,5.2,-1,-1,7,-1,-1
Head of AI,120599,2,0,United Kingdom,0,United Kingdom,50,"Linux, AWS, Python",-1,4,Energy,6.4,-1,-1,18,-1,-1
AI Specialist,277727,1,3,Singapore,0,Singapore,50,"Python, Git, TensorFlow",-1,13,Healthcare,9.0,-1,-1,14,-1,-1
Data Engineer,158734,1,3,Canada,2,South Korea,50,"Data Visualization, NLP, Computer Vision",-1,16,Retail,6.2,-1,-1,15,-1,-1
Data Engineer,139438,3,1,Japan,0,Japan,0,"Python, Spark, Git, Data Visualization, Docker",-1,9,Retail,9.9,-1,-1,11,-1,-1
Head of AI,131432,3,3,Singapore,1,Sweden,50,"Kubernetes, Data Visualization, Deep Learning, Azure, Computer Vision",-1,5,Manufacturing,5.3,-1,-1,16,-1,-1
Data Analyst,140290,2,3,Denmark,0,Denmark,50,"PyTorch, SQL, R, Azure",-1,4,Real Estate,5.7,-1,-1,4,-1,-1
Research Scientist,90858,2,0,France,0,France,50,"Scala, PyTorch, Deep Learning, Kubernetes, Java",-1,2,Real Estate,7.1,-1,-1,6,-1,-1
Autonomous Systems Engineer,126597,3,1,United Kingdom,0,Singapore,50,"PyTorch, Java, TensorFlow, Computer Vision, SQL",-1,6,Government,7.8,-1,-1,14,-1,-1
AI Architect,53274,0,1,Finland,1,Finland,100,"Spark, Python, Statistics, Hadoop, TensorFlow",-1,0,Automotive,6.0,-1,-1,5,-1,-1
Machine Learning Researcher,155357,1,1,Sweden,2,France,100,"TensorFlow, SQL, Computer Vision, Kubernetes",-1,17,Real Estate,5.2,-1,-1,6,-1,-1
Principal Data Scientist,116292,2,1,Netherlands,1,Hungary,50,"Java, Docker, Python",-1,4,Gaming,7.9,-1,-1,-1,-1,-1
Computer Vision Engineer,140363,3,0,Austria,0,Austria,100,"MLOps, Hadoop, TensorFlow, Kubernetes",-1,6,Manufacturing,9.8,-1,-1,1,-1,-1
Research Scientist,162306,3,0,Israel,0,Luxembourg,0,"Statistics, SQL, Tableau, Hadoop, R",-1,9,Energy,5.6,-1,-1,-1,-1,-1
Data Analyst,134224,1,2,China,0,China,0,"Python, SQL, Git",-1,16,Technology,6.6,-1,-1,3,-1,-1
Research Scientist,77500,2,0,United Kingdom,2,Norway,0,"Mathematics, Hadoop, TensorFlow",-1,3,Technology,10.0,-1,-1,13,-1,-1
Computer Vision Engineer,154083,3,3,Ireland,0,Ireland,50,"Hadoop, Python, Deep Learning",-1,7,Manufacturing,7.7,-1,-1,9,-1,-1
Machine Learning Engineer,79445,2,1,Ireland,1,Ireland,50,"Python, Statistics, TensorFlow, Computer Vision",-1,4,Real Estate,7.2,-1,-1,9,-1,-1
Head of AI,157466,3,1,Switzerland,1,Switzerland,100,"Git, Data Visualization, Spark, Computer Vision, Azure",-1,8,Automotive,5.2,-1,-1,17,-1,-1
Head of AI,38972,2,2,India,0,India,0,"Kubernetes, Mathematics, TensorFlow, MLOps",-1,4,Real Estate,7.1,-1,-1,8,-1,-1
Deep Learning Engineer,66090,2,3,Canada,2,Canada,0,"AWS, SQL, R, Scala",-1,3,Technology,5.3,-1,-1,2,-1,-1
Data Analyst,47943,2,3,China,0,China,50,"TensorFlow, Mathematics, NLP, Docker",-1,2,Finance,6.2,-1,-1,3,-1,-1
ML Ops Engineer,217318,1,3,Ireland,1,Malaysia,100,"SQL, PyTorch, Hadoop",-1,17,Finance,7.8,-1,-1,-1,-1,-1
AI Architect,84705,2,0,Norway,2,Norway,50,"Scala, Spark, PyTorch",-1,3,Government,6.6,-1,-1,13,-1,-1
NLP Engineer,36076,3,2,India,1,India,50,"Python, TensorFlow, Data Visualization",-1,7,Media,7.5,-1,-1,8,-1,-1
AI Consultant,160216,1,2,Israel,0,Israel,100,"Deep Learning, Linux, Python, SQL",-1,15,Education,6.0,-1,-1,10,-1,-1
